Дата,Материал,Цена,Изменение за день,Изменение за день(процент),Изменение за неделю,Изменение за неделю(процент),Изменение за месяц,Изменение за месяц(процент)
2023-06-06 00:00:00,Железорудное сырье (62% Fe),109 USD/т,+5 USD/т,+4.81 %,+6.55 USD/т,+6.39 %,+1.95 USD/т,+1.82 %
-,Уголь коксующийся (CFR Китай),228 USD/т,+0 USD/т,+0 %,+4 USD/т,+1.79 %,-6 USD/т,-2.56 %
-,Кокс металлургический (FOB Китай),295 USD/т,+0 USD/т,+0 %,-16 USD/т,-5.14 %,-63 USD/т,-17.6 %
-,Лом (CNF Турция),388 USD/т,+3 USD/т,+0.78 %,+3 USD/т,+0.78 %,-12 USD/т,-3 %
-,Лом (CPT Россия),25300 руб/т,+0 руб/т,+0 %,-300 руб/т,-1.17 %,-2400 руб/т,-8.66 %
-,"ПВЖ (80% Feмет, DAP Индия)",352 USD/т,+4 USD/т,+1.15 %,+2 USD/т,+0.57 %,-34 USD/т,-8.81 %
-,Чугун (FOB Россия),375 USD/т,+0 USD/т,+0 %,+5 USD/т,+1.35 %,+0 USD/т,+0 %
-,Чугун (FOB Индия),490 USD/т,+0 USD/т,+0 %,+7 USD/т,+1.45 %,+2 USD/т,+0.41 %
